satellite,norad_id,inclination,eccentricity,mean_motion,right ascension,perigee,mean anomaly
CALSPHERE 1,900.0,90.2191,0.0026308,13.76534075,70.0346,151.0518,342.2993
CALSPHERE 2,902.0,90.231,0.0020653,13.52894415846268,74.0277,82.9225,301.5723
LCS 1,1361.0,32.1469,0.0013329,9.89309882202558,352.8037,220.0691,139.8823
TEMPSAT 1,1512.0,89.9986,0.0071567,13.33590729950205,212.5807,96.1931,317.8738
CALSPHERE 4A,1520.0,89.8983,0.006803,13.36264415952814,123.2263,313.899,100.4041
OPS 5712 (P/L 160),2826.0,69.9177,0.0002667,14.76733034,219.3917,221.7555,138.3389
LES-5,2866.0,2.4517,0.0055135,1.0942623813022,98.5902,210.7703,343.4936
SURCAL 159,2872.0,69.9739,0.0008749,13.99584093999861,160.0179,227.5847,132.4521
OPS 5712 (P/L 153),2874.0,69.9723,0.0009865,13.96817293996411,274.4565,285.7604,74.2413
OPS 3811 (DSP 2),5204.0,0.249,0.0022931,0.981600172055,16.956,277.3227,229.6825
RIGIDSPHERE 2 (LCS 4),5398.0,87.6278,0.0061907,14.3778459186326,359.3219,116.8854,243.8691
OSCAR 7 (AO-7),7530.0,101.9952,0.0011867,12.53696961351171,106.0831,273.4318,205.9727
STARLETTE,7646.0,49.8253,0.0205644,13.82349302584306,36.5992,178.6435,181.5056
LAGEOS 1,8820.0,109.8111,0.0044673,6.38664831908362,153.7402,318.2866,67.836
OPS 8701 (DSP 10),13086.0,9.4404,0.0004405,0.98189554,309.7582,327.7172,219.2804
PHASE 3B (AO-10),14129.0,25.9057,0.6038024,2.05870088293935,232.2039,94.7765,332.2066
UOSAT 2 (UO-11),14781.0,97.7993,0.0009166,14.90602466246106,60.6249,72.6649,287.5571
AJISAI (EGS),16908.0,50.0121,0.0011359,12.44515625471181,14.6631,352.9052,189.0277
TDRS 3,19548.0,12.6582,0.0042227,1.00267787124643,341.491,356.035,200.1119
COSMOS 1989 (ETALON 1),19751.0,64.9042,0.0023401,2.13156089289795,74.7233,217.6455,232.7159
COSMOS 2024 (ETALON 2),20026.0,64.9792,0.0020492,2.13204676286922,313.0871,213.1211,327.048
FLTSATCOM 8 (USA 46),20253.0,12.4425,0.0007954,1.00271974259814,351.6111,357.8104,195.3548
LUSAT (LO-19),20442.0,98.8912,0.0012583,14.34099458891766,113.7598,66.2377,294.0125
HST,20580.0,28.4724,0.0002132,15.29899616777144,229.5454,51.9469,308.1319
SKYNET 4C,20776.0,13.3639,0.0003499,1.00276455130145,350.3222,16.571,156.1426
USA 65 (DSP 15),20929.0,14.0498,0.0004365,0.98396205,344.5626,65.5046,118.4111
TDRS 5,21639.0,14.0809,0.0008672,1.00279221126971,354.3263,279.6379,192.913
USA 75 (DSP 16),21805.0,14.0439,0.000398,0.99186774,346.0363,71.0559,125.953
LAGEOS 2,22195.0,52.6746,0.0137714,6.47293426789659,322.9737,148.3601,4.1736
TDRS 6,22314.0,14.182,0.0005107,1.00267572121666,357.6092,182.8149,19.9445
SCD 1,22490.0,24.9701,0.0042092,14.46085948750357,306.1083,72.1219,59.3928
UFO 2 (USA 95),22787.0,11.8722,0.0009117,1.00277047117772,3.9725,359.977,327.6334
STELLA,22824.0,98.7789,0.0007497,14.27468449694223,158.2124,92.2334,355.8676
EYESAT A (AO-27),22825.0,98.6932,0.0007592,14.3092217969641,161.5826,323.8735,36.1933
ITAMSAT (IO-26),22826.0,98.6881,0.0007876,14.3134712969672,161.4941,305.2501,54.7944
USA 99 (MILSTAR-1 1),22988.0,17.5072,0.0004013,1.00272988,28.5175,334.4945,207.6238
RADIO ROSTO (RS15),23439.0,64.8166,0.0153645,11.27583865287569,62.8093,17.2967,343.3112
UFO 4 (USA 108),23467.0,9.6966,0.0003463,1.00269272114214,13.4729,354.6212,48.8308
TDRS 7,23613.0,13.4085,0.0009313,1.00268526112502,348.702,55.3162,128.8446
USA 115 (MILSTAR-1 2),23712.0,14.0463,0.0003938,1.00275542,4.3204,354.5502,222.3022
POLAR,23802.0,79.7819,0.6395568,1.29845741143898,227.9051,211.6054,85.4938
INMARSAT 3-F1,23839.0,10.4495,0.0004724,1.0000047810951,47.3028,303.1705,260.0682
USA 119,23893.0,63.3234,0.084751,13.46024884,25.4984,48.0395,318.9754
JAS-2 (FO-29),24278.0,98.5336,0.0348901,13.53270501463159,313.1239,288.6176,67.7379
INMARSAT 3-F2,24307.0,9.6909,0.0006396,0.99984582108181,54.6779,323.5471,39.0153
INMARSAT 3-F3,24674.0,10.1595,0.0005615,0.99989592107161,50.351,298.0705,242.9164
NAVSTAR 43 (USA 132),24876.0,55.9536,0.0098939,2.00564007210455,101.4969,56.1365,304.8323
FORTE,24920.0,69.9537,0.0021116,14.2791383548813,180.9932,11.7015,348.4594
AMC-3,24936.0,7.965,0.0003653,1.0026529,64.9211,297.8149,73.0793
USA 134,25019.0,12.6969,0.0006424,1.00270973,22.2776,322.1079,247.3365
ORBCOMM FM06,25118.0,45.0141,0.0002501,14.47372743483674,48.6497,296.2034,203.4919
INMARSAT 3-F5,25153.0,9.5298,0.0005347,1.00272923103157,53.9797,322.9593,206.9083
ORBCOMM FM04,25159.0,107.9605,0.0038522,14.35590937465986,17.2977,95.6915,264.862
CELESTIS-02 & TAURUS R/B,25160.0,108.0036,0.006377,14.22461909459993,182.9511,259.6034,157.3686
