satellite,line1,line2,norad_id,inclination,eccentricity,mean_motion,right_ascension,perigee,mean_anomaly,orbital_period_minutes,orbit_type,latitude,longitude,altitude_km,x,y,z
CALSPHERE 1,1 00900U 64063C   26097.45227742  .00000772  00000+0  77675-3 0  9995,2 00900  90.2195  70.1102 0026705 141.4139 336.8729 13.76538880 61690,900,1.574627324503024,0.0026705,0.0600628393442878,1.2236538292317285,2.4681381630860093,5.879541265741606,104.61019451916972,LEO,-15.927930932218866,-109.94370439669487,976.994702387813,-2410.150960812543,-6642.1339772066285,-2016.4956536652908
CALSPHERE 2,1 00902U 64063E   26097.48753605  .00000039  00000+0  44441-4 0  9994,2 00902  90.2314  74.1045 0020586  74.3182  53.8802 13.52894555846707,902,1.5748350186840114,0.0020586,0.0590311610426337,1.293367515544138,1.2970972841556498,0.9403868916330488,106.43845040828047,LEO,1.2913385889069675,74.10733973983517,1066.7683251183307,2036.2115645626689,7151.653233801681,167.61905001745927
LCS 1,1 01361U 65034C   26097.48724595  .00000012  00000+0  52123-3 0  9995,2 01361  32.1468 344.8933 0013340 231.7370 128.1927  9.89309959202886,1361,0.5610675039801131,0.001334,0.0431667902683002,6.019523653068559,4.044573648694099,2.237384692021335,145.55599960355826,MEO,17.05870259253151,134.83653732505582,2790.8051961962847,-6175.661981124991,6211.000753629867,2687.6277990722233
TEMPSAT 1,1 01512U 65065E   26097.30266488  .00000046  00000+0  73328-4 0  9998,2 01512  89.9990 212.5807 0071560  88.0090 300.7857 13.33590934950604,1512,1.5707788735023769,0.007156,0.0581888816826159,3.7102331411943097,1.5360468213876894,5.249700807915908,107.97913837647624,LEO,44.78322675018902,-147.4183587527725,1096.2621536907745,-4465.988967275237,-2854.10324854082,5260.137000381947
CALSPHERE 4A,1 01520U 65065H   26097.47177127  .00000101  00000+0  17727-3 0  9998,2 01520  89.8980 123.1928 0067854 304.1199 155.0441 13.36265081953265,1520,1.5690160909578623,0.0067854,0.0583055633571968,2.1501199747508704,5.307893575835903,2.70603003079134,107.76304944842003,LEO,28.5145333477835,123.24463758585881,1124.7224933343578,-3610.7968505630242,5508.504744887692,3578.3204547095233
OPS 5712 (P/L 160),1 02826U 67053A   26097.55895764  .00008612  00000+0  12351-2 0  9992,2 02826  69.9173 211.2698 0002513 224.6453 135.4492 14.76803466 55802,2826,1.2202870891046314,0.0002513,0.0644377072164103,3.687353620029916,3.920800134130417,2.364034509192303,97.50789682938084,LEO,7.208109398150536,-146.74444841482287,649.37967529035,-5824.2771271520805,-3819.370374824863,880.8726759714681
LES-5,1 02866U 67066E   26097.56695369 -.00000064  00000+0  00000+0 0  9999,2 02866   2.4600  98.4738 0054992 211.0246 288.8276  1.09425386130261,2866,0.0429350995990605,0.0054992,0.0047745831774142,1.718692036950392,3.683074072704026,5.040992590633175,1315.9652002507178,MEO,-2.202006562078154,-17.199681060842483,33225.05201857159,37797.38560083612,-11700.014766135195,-1521.3913603514707
SURCAL 159,1 02872U 67053F   26097.47649535  .00000090  00000+0  98014-4 0  9991,2 02872  69.9735 153.0931 0008621 224.4112 135.6304 13.99584930   312,2872,1.2212679641442523,0.0008621,0.0610684129744859,2.6719786570849307,3.916714318351499,2.3671970457969174,102.88764683969556,LEO,-11.828510823760002,147.94858456258325,909.5533446606323,-6039.761086815239,3781.6019790052756,-1492.3905289919614
OPS 5712 (P/L 153),1 02874U 67053H   26097.51634372  .00000048  00000+0  73095-4 0  9996,2 02874  69.9726 266.7812 0009930 282.4930  77.5064 13.96817994996913,2874,1.2212522561809842,0.000993,0.060947682616006,4.656210322421496,4.930432963836341,1.352741871367733,103.0914554498501,LEO,33.944912558110595,71.89432971996183,914.5902317944528,1878.2789377763288,5744.676355966961,4068.2412444100137
OPS 3811 (DSP 2),1 05204U 71039A   26097.57276038 -.00000022  00000+0  00000+0 0  9996,2 05204   0.2520  18.7090 0022703 275.6658 335.6314  0.98160714205536,5204,0.0043982297150257,0.0022703,0.0042830691385212,0.3265336497556191,4.811275845144184,5.857873003078096,1466.981994446384,GEO,-0.061647752476162915,1.6244074302551552,36357.967084815486,42711.77087160407,1211.2569888552691,-45.97449062640151
RIGIDSPHERE 2 (LCS 4),1 05398U 71067E   26097.62377096  .00000806  00000+0  25585-3 0  9991,2 05398  87.6274 358.3965 0062110 106.1854 254.6193 14.37789564863747,5398,1.529386644962079,0.006211,0.0627354046065343,6.255198952623857,1.8532848475471868,4.443945124123198,100.15373849242938,LEO,-6.316985814525484,-1.923951179460585,792.9733331489606,7116.462375950002,-239.05555939329344,-788.2446379650395
OSCAR 7 (AO-7),1 07530U 74089B   26097.03406824 -.00000053  00000+0 -41192-4 0  9994,2 07530 101.9951 109.5292 0011868 266.7478 113.7587 12.53696899351600,7530,1.7801503159008685,0.0011868,0.054702846773982,1.911645167075373,4.65562738245133,1.9854638677884733,114.86029846198096,LEO,16.919332403287996,106.62696692061981,1459.8581029015195,-2143.72845388571,7178.651476052242,2278.975631539779
STARLETTE,1 07646U 75010A   26097.60567056 -.00000141  00000+0  73113-6 0  9992,2 07646  49.8260  23.1885 0205648 189.8685 169.8138 13.82349340584775,7646,0.8696277530986947,0.0205648,0.0603163684894263,0.4047156735987051,3.313830470822854,2.9638099253231465,104.17048414115074,LEO,30.81246216229047,52.55293533260822,1086.2269904019122,3894.1945428404574,5084.733213024206,3819.8130060591857
LAGEOS 1,1 08820U 76039A   26097.14477860 -.00000004  00000+0  00000+0 0  9997,2 08820 109.8104 155.0248 0044670 317.4965  55.8389  6.38664837908606,8820,1.916553032931981,0.004467,0.0278670105559072,2.7056931822457053,5.541359288558177,0.9745726556918616,225.4703745338657,MEO,26.555353360750512,-14.370664050198162,5950.960961127534,10677.154208383285,-2735.6008286860097,5508.68296819181
OPS 8701 (DSP 10),1 13086U 82019A   26097.39575610 -.00000117  00000+0  00000+0 0  9996,2 13086   9.4346 309.7352 0004147 326.3218 263.0319  0.98190735 24963,13086,0.164664833608657,0.0004147,0.004284379051758,5.405899049323141,5.695389831034432,4.590772692776473,1466.5334769110636,GEO,3.74140076489971,-27.164605104464286,36376.80964318634,37951.60755018577,-19474.84908663316,2789.438420119884
PHASE 3B (AO-10),1 14129U 83058B   26097.47132355 -.00000010  00000+0  00000+0 0  9995,2 14129  25.9026 231.3833 6036287  96.1287 331.4132  2.05872771294035,14129,0.4520856548270832,0.6036287,0.0089828942353857,4.038400419129795,1.677762320661873,5.784251524570472,699.4611249488684,MEO,-23.25754778661701,169.0346538987534,32279.212398539647,-34861.14799897383,6754.441748571007,-15261.61181890799
