OBJECT_NAME,OBJECT_ID,NORAD_CAT_ID,OBJECT_TYPE,OPS_STATUS_CODE,OWNER,LAUNCH_DATE,LAUNCH_SITE,DECAY_DATE,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS,DATA_STATUS_CODE,ORBIT_CENTER,ORBIT_TYPE
CALSPHERE 1,1964-063C,900,PAY,+,US,1964-10-06,AFWTR,,104.61,90.22,996,956,0.0510,,EA,ORB
CALSPHERE 2,1964-063E,902,PAY,+,US,1964-10-06,AFWTR,,106.44,90.23,1077,1047,0.0457,,EA,ORB
LCS 1,1965-034C,1361,PAY,+,US,1965-05-06,AFETR,,145.56,32.15,2800,2776,0.8083,,EA,ORB
TEMPSAT 1,1965-065E,1512,PAY,+,US,1965-08-13,AFWTR,,107.98,90.00,1187,1080,0.0680,,EA,ORB
CALSPHERE 4A,1965-065H,1520,PAY,+,US,1965-08-13,AFWTR,,107.76,89.90,1174,1072,0.0520,,EA,ORB
OPS 5712 (P/L 160),1967-053A,2826,PAY,+,US,1967-05-31,AFWTR,,97.50,69.92,641,638,0.4030,,EA,ORB
LES-5,1967-066E,2866,PAY,P,US,1967-07-01,AFETR,,1315.95,2.48,33618,33183,2.5562,,EA,ORB
SURCAL 159,1967-053F,2872,PAY,+,US,1967-05-31,AFWTR,,102.89,69.97,901,889,0.3210,,EA,ORB
OPS 5712 (P/L 153),1967-053H,2874,PAY,+,US,1967-05-31,AFWTR,,103.09,69.97,912,898,0.6606,,EA,ORB
OPS 3811 (DSP 2),1971-039A,5204,PAY,P,US,1971-05-05,AFETR,,1466.95,0.26,36485,36292,,,EA,ORB
RIGIDSPHERE 2 (LCS 4),1971-067E,5398,PAY,+,US,1971-08-07,AFWTR,,100.15,87.63,810,721,0.9548,,EA,ORB
OSCAR 7 (AO-7),1974-089B,7530,PAY,P,US,1974-11-15,AFWTR,,114.86,101.99,1458,1440,0.7542,,EA,ORB
STARLETTE,1975-010A,7646,PAY,+,FR,1975-02-06,FRGUI,,104.17,49.83,1106,805,0.1687,,EA,ORB
LAGEOS 1,1976-039A,8820,PAY,+,US,1976-05-04,AFWTR,,225.47,109.81,5948,5838,0.3981,,EA,ORB
OPS 8701 (DSP 10),1982-019A,13086,PAY,P,US,1982-03-06,AFETR,,1466.52,9.42,36398,36362,,,EA,ORB
PHASE 3B (AO-10),1983-058B,14129,PAY,P,GER,1983-06-16,FRGUI,,699.46,25.90,35474,3973,1.0067,,EA,ORB
UOSAT 2 (UO-11),1984-021B,14781,PAY,P,UK,1984-03-01,AFWTR,,96.60,97.80,602,590,0.4029,,EA,ORB
AJISAI (EGS),1986-061A,16908,PAY,+,JPN,1986-08-12,TANSC,,115.71,50.01,1496,1479,4.2280,,EA,ORB
TDRS 3,1988-091B,19548,PAY,+,US,1988-09-29,AFETR,,1435.99,12.65,35957,35612,38.9782,,EA,ORB
COSMOS 1989 (ETALON 1),1989-001C,19751,PAY,+,CIS,1989-01-10,TYMSC,,675.56,64.91,19185,19066,1.2589,,EA,ORB
COSMOS 2024 (ETALON 2),1989-039C,20026,PAY,+,CIS,1989-05-31,TYMSC,,675.41,64.97,19174,19069,1.0251,,EA,ORB
FLTSATCOM 8 (USA 46),1989-077A,20253,PAY,+,US,1989-09-25,AFETR,,1436.17,12.44,35821,35755,32.5418,,EA,ORB
LUSAT (LO-19),1990-005G,20442,PAY,P,ARGN,1990-01-22,FRGUI,,100.41,98.89,787,769,0.1459,,EA,ORB
HST,1990-037B,20580,PAY,+,US,1990-04-24,AFETR,,94.11,28.47,477,474,28.0799,,EA,ORB
SKYNET 4C,1990-079A,20776,PAY,+,UK,1990-08-30,FRGUI,,1436.09,13.36,35796,35776,11.1055,,EA,ORB
USA 65 (DSP 15),1990-095A,20929,PAY,P,US,1990-11-13,AFETR,,1463.44,14.04,36338,36302,,,EA,ORB
TDRS 5,1991-054B,21639,PAY,+,US,1991-08-02,AFETR,,1436.18,14.08,35823,35753,20.8608,,EA,ORB
USA 75 (DSP 16),1991-080B,21805,PAY,P,US,1991-11-24,AFETR,,1451.85,14.04,36110,36079,,,EA,ORB
LAGEOS 2,1992-070B,22195,PAY,+,IT,1992-10-22,AFETR,,222.46,52.67,5951,5616,0.3981,,EA,ORB
TDRS 6,1993-003B,22314,PAY,+,US,1993-01-13,AFETR,,1436.01,14.18,35808,35762,28.6701,,EA,ORB
SCD 1,1993-009B,22490,PAY,P,BRAZ,1993-02-09,AFETR,,99.58,24.97,768,709,0.8234,,EA,ORB
UFO 2 (USA 95),1993-056A,22787,PAY,+,US,1993-09-03,AFETR,,1436.08,11.87,35825,35747,0.0030,,EA,ORB
STELLA,1993-061B,22824,PAY,+,FR,1993-09-26,FRGUI,,100.88,98.78,806,795,0.1700,,EA,ORB
EYESAT A (AO-27),1993-061C,22825,PAY,P,US,1993-09-26,FRGUI,,100.63,98.69,794,783,0.1800,,EA,ORB
ITAMSAT (IO-26),1993-061D,22826,PAY,P,IT,1993-09-26,FRGUI,,100.60,98.69,793,782,0.1624,,EA,ORB
USA 99 (MILSTAR-1 1),1994-009A,22988,PAY,+,US,1994-02-07,AFETR,,1436.12,17.52,35801,35773,,,EA,ORB
USA 105,1994-054A,23223,PAY,+,US,1994-08-27,AFETR,,1457.20,13.31,36210,36188,,NEA,EA,ORB
RADIO ROSTO (RS15),1994-085A,23439,PAY,P,CIS,1994-12-26,TYMSC,,127.71,64.82,2152,1893,0.6192,,EA,ORB
UFO 4 (USA 108),1995-003A,23467,PAY,+,US,1995-01-29,AFETR,,1436.11,9.71,35802,35772,30.3520,,EA,ORB
TDRS 7,1995-035B,23613,PAY,+,US,1995-07-13,AFETR,,1436.18,13.40,35829,35747,22.3872,,EA,ORB
USA 115 (MILSTAR-1 2),1995-060A,23712,PAY,+,US,1995-11-06,AFETR,,1434.76,14.05,35764,35757,,,EA,ORB
POLAR,1996-013A,23802,PAY,P,US,1996-02-24,AFWTR,,1109.01,79.79,51846,6380,6.0269,,EA,ORB
INMARSAT 3-F1,1996-020A,23839,PAY,B,IM,1996-04-03,AFETR,,1440.02,10.47,35882,35845,1.1784,,EA,ORB
